Paper ID,Title,Journal,Sim1,Sim2
7CD18461,"-Strengths and limits of Beta distributions as a means of reconstructing the true single-channel current in patch clamp time series with fast gating.","The Journal of Membrane Biology",0.124206349206,0.102565335899
764B87E0,"-Distributed Dynamic Frequency Allocation In Wireless Networks Under Time-Varying User Activities","Information not present",0.136111111111,0.111919191919
80AA9A81,"-Filtering Algorithm of MEMS Gyroscope Based on Swing Markov Interacting Multiple Models","Information not present",0.10101010101,0.171883671884
779F6E9D,"-Two-dimensional Markov model for throughput analysis of IEEE 802.11 Distributed Coordination Function in non ideal channel with capture effects","International Conference on Wireless Communications and Mobile Computing",0.121933621934,0.116535624869
7A482D75,"-Sequence in Australian coal seams","Mathematical Geosciences",0.0804195804196,0.0767045454545
7C5785C2,"-Sufficient and admissible estimators in general multivariate linear model","Journal of Statistical Planning and Inference",0.0820221445221,0.0871212121212
16E47DE2,"-Fouille de dynamiques multivariées : application à des données temporelles en cardiologie","Information not present",0.104166666667,0.125
077876D9,"-Contribution to Markov Models training methods for continuous speech recognition","International Symposium on Physical Design",0.150505050505,0.123585858586
736C10C4,"-Language identification using noisy speech","International Conference on Acoustics, Speech, and Signal Processing",0.145454545455,0.219444444444
5BFE6E79,"-High Availability Cluster System for Local Disaster Recovery with Markov Modeling Approach","Clinical Orthopaedics and Related Research",0.0958333333333,0.0974067599068
636A62B0,"-Mining longest repeating subsequences to predict world wide web surfing","Information not present",0.0958333333333,0.125198412698
7F7A88DE,"-Chaotic maps as parsimonious bit error models of wireless channels","International Conference on Computer Communications",0.110227272727,0.0899675324675
7DD5B89F,"-Semi-Markov modeling of dependability of VoIP network in the presence of resource degradation and security attacks","Reliability Engineering & System Safety",0.113005050505,0.101546717172
7A1E02BA,"-Modeling the winning seed distribution of the NCAA Division I men׳s basketball tournament","Omega-international Journal of Management Science",0.111111111111,0.129441391941
81011740,"-An efficient approach to handling functional dependence loops","Information not present",0.100505050505,0.130902777778
7D1D9F82,"-Performance Analysis of m-Retry BEB Based DCF under Unsaturated Traffic Condition","Wireless Communications and Networking Conference",0.106060606061,0.166666666667
0BB17CFF,"-Using Conditional Null-Arc Probabilities in Markov Models to Prevent Deletion of Phones","Information not present",0.10625,0.129360916861
7C47D439,"-Distributing the train traction power over cars: effects on dependability analyzed based on daily duty‐cycle","Compel-the International Journal for Computation and Mathematics in Electrical and Electronic Engineering",0.0959595959596,0.143448269459
7A37931F,"-Improved survivability analysis for SONET SHRs","Computer Networks",0.0940170940171,0.111111111111
7D288F03,"-Effect of risk stratification on cost-effectiveness of the implantable cardioverter defibrillator","American Heart Journal",0.0975135975136,0.0895622895623
7ED89D25,"-Cost-effectiveness analysis of the first-line therapies for nicotine dependence","European Journal of Clinical Pharmacology",0.106060606061,0.104377104377
7BD5722B,"-Packcet Error Statistics in a MIMO-MRC Transmission over Rayleigh Fading Channels","International Conference on Telecommunications",0.116883116883,0.112137862138
7FF7ED23,"-A new Markov model of N version programming systems","International Symposium on Software Reliability Engineering",0.0924388111888,0.107284382284
8360A0DE,"-The Phylogenetic Handbook: Phylogenetic inference based on distance methods","Information not present",0.151515151515,0.184848484848
7F4249A7,"-Multiuser scheduling in a Markov-modeled downlink environment","Information not present",0.101388888889,0.105555555556
84D976F6,"-Performance Modelling of Adaptive VANET with Enhanced Priority Scheme","Information not present",0.0954545454545,0.0939393939394
0661FCBF,"-A Markov Model for Probabilistic Concurrent Constraint Programming","Information not present",0.0991161616162,0.0905691530692
7DE82E8C,"-Modeling and Validating the Cost and Clinical Pathway of Colorectal Cancer","Medical Decision Making",0.0804195804196,0.0843081550802
7B819129,"-Initiative, Personality and Leadership in Pairs of Foraging Fish","PLOS ONE",0.127678571429,0.118669467787
80B674A9,"-Short-term Menopausal Hormone Therapy for Symptom Relief","Information not present",0.0959595959596,0.0905691530692
780C5F83,"-A characterization of moral transitive acyclic directed graph Markov models as labeled trees","Journal of Statistical Planning and Inference",0.0969030969031,0.0928196803197
804DBD96,"-A deterministic model for history sensitive cascade in diffusion networks","Systems, Man and Cybernetics",0.0959595959596,0.0952525252525
61717FF3,"-A hybrid wind speed forecasting model based on phase space reconstruction theory and Markov model: A case study of wind farms in northwest China","Information not present",0.14375,0.11604978355
