776BCEDF	Symposium on the Theory of Computing<---Approximate counting by dynamic programming
65681F91	Information not present<---Data Warehousing and Data Mining: Are we working on the right things?
7E70BC33	Knowledge Discovery and Data Mining<---Brute-Force Mining of High-Confidence Classification Rules
58C99660	Data Mining and Knowledge Discovery<---Constraint-Based Rule Mining in Large, Dense Databases
7BC1BCB9	Communications of The ACM<---Statistical inference and data mining
756F2147	Symposium on Principles of Database Systems<---Feasible itemset distributions in data mining: theory and application
585D3A2B	Information Retrieval<---The TREC-5 Confusion Track: Comparing Retrieval Methods for Scanned Text
81455F0C	IEEE Transactions on Neural Networks<---Data Mining Methods for Knowledge Discovery
7F30C6C7	International Conference on Data Mining<---Interestingness, peculiarity, and multi-database mining
5EE9BE25	Machine Learning<---Complete Mining of Frequent Patterns from Graphs: Mining Graph Data
7DB2E483	Working Conference on Reverse Engineering<---Identification of software instabilities
0B848080	Knowledge Discovery and Data Mining<---Using Recon for Data Cleaning
0AB1A147	IEEE Data(base) Engineering Bulletin<---Querying XML Data
752B2D11	Pattern Recognition<---Hidden Markov models for fault detection in dynamic systems
5FB96682	Pacific-Asia Conference on Knowledge Discovery and Data Mining<---Active Feature Selection Using Classes
7EED164E	Journal of Circuits, Systems, and Computers<---The application of Petri-nets to workflow management
79F2179B	Cognitive Science<---Feature discovery by competitive learning
60FB681E	Information not present<---Hypertext transfer protocol--http/i
80DEAE60	International Joint Conference on Artificial Intelligence<---Letizia: an agent that assists web browsing
58A2A3E7	Intelligent Data Engineering and Automated Learning<---Peculiarity Oriented Mining in Multiple Human Brain Data
7F0EF70B	Sigmod Record<---CURE: an efficient clustering algorithm for large databases
636A62B0	Information not present<---Mining longest repeating subsequences to predict world wide web surfing
811B4FC3	The Vldb Journal<---Efficient User-Adaptable Similarity Search in Large Multimedia Databases
59AA78CB	Knowledge Discovery and Data Mining<---W.: Memory placement techniques for parallel association mining
7F795E8F	International Conference on Data Mining<---Efficiently mining maximal frequent itemsets
7D210A00	Journal of Algorithms<---A survey of fast exponentiation methods
7EBB0310	Ai Magazine<---Empirical Methods in Information Extraction
8178EE71	Knowledge Discovery and Data Mining<---Mining the most interesting rules
75DE276E	Sigmod Record<---Using unknowns to prevent discovery of association rules
583CC201	Information not present<---The Elements of Statistical Learning
75EDA694	Journal of Molecular Structure-theochem<---Artificial neural networks and genetic algorithms in QSAR
0C3E9223	Information not present<---Data mining via linguistic summaries of data: An interactive approach
80473648	Information not present<---Genetic algorithms in search
5C39D17A	International Symposium on Neural Networks<---Content-based software classification by self-organization
01BDC6C2	Information not present<---Potential Applications of Granular Computing in Knowledge Discovery and Data Mining
80368AA9	Neural Information Processing Systems<---Supervised Learning of Probability Distributions by Neural Networks
76FC1A48	Conference on Information and Knowledge Management<---Using domain knowledge in knowledge discovery
632853C8	Information not present<---Text Mining: The state of the art and the challenges
63715DDE	The Vldb Journal<---Fido: A Cache That Learns To Fetch
79FC6842	Journal of the American Statistical Association<---Propagation of probabilities, means and variances in mixed graphical association models
7A2DC424	Artificial Intelligence<---Temporal data base management
6D52EE7C	Combinatorial Pattern Matching<---Approximate String-Matching over Suffix Trees
0B7EA32B	Information not present<---Data Exploration Using Self-Organizing Maps
7EBA7FB7	IEEE Transactions on Knowledge and Data Engineering<---A guide to the literature on learning probabilistic networks from data
817E7926	Information not present<---The TSIMMIS Project: Integration of Heterogeneous Information Sources
5F18DD57	Decision Support Systems<---Learning by problem processors: adaptive decision support systems
0AEDC54A	Information not present<---Text Document Classification with Self-Organizing Maps
599F338D	Information not present<---Pruning Decision Trees with Misclassification Costs
5B0E6B96	International Syposium on Methodologies for Intelligent Systems<---Machine Learning Method for Software Quality Model Building
7A750EAA	Econometric Theory<---The Effect of Model Selection on Confidence Regions and Prediction Regions
5E5FD511	European Conference on Principles of Data Mining and Knowledge Discovery<---Data Mining for the Web
75751A55	Evolutionary Computation<---Search-intensive concept induction
79A62D2B	Journal of Interactive Marketing<---Assessing the performance of direct marketing scoring models
78FD8EAA	Machine Learning<---Competition-Based Induction of Decision Models from Examples
