Paper ID,Title,Journal,Sim1,Sim2
63C86247,"Precise Image-Based Motion Estimation for Autonomous Small Body Exploration","Information not present",0.346154401154,0.55
7EB023A1,"Window-Based Image Registration using Variable Window Sizes","International Conference on Image Processing",0.151987734488,0.157844932845
7EBE8CC3,"Stereo-vision based motion estimation of a humanoid robot for the ego-motion compensation by type-2 fuzzy sets","Information not present",0.412821067821,0.550518925519
7C9CA7EB,"On-chip normal flow computation with aperture problem compensation circuitry","Information not present",0.200952380952,0.167606837607
742E633F,"A real-time system for detecting moving point target in low SNR image sequences","Information not present",0.148217893218,0.153236446094
7FB6F313,"Power-aware design with various low-power algorithms for an H.264/AVC encoder","International Symposium on Circuits and Systems",0.250248917749,0.6
7F718268,"Point correspondence recovery in non-rigid motion","Computer Vision and Pattern Recognition",0.228217893218,0.348611111111
5B50E759,"Vss Approach to Motion Control Systems","Internet Measurement Conference",0.127146464646,0.134848484848
7E2CFCA0,"Learning Adaptive Metric for Robust Visual Tracking","IEEE Transactions on Image Processing",0.133257575758,0.229166666667
7C75AD0C,"Video stabilization by estimation of similarity transformation from integral projections","International Conference on Image Processing",0.353015873016,0.415674603175
7B7AE6B3,"A simple and efficient block motion estimation algorithm based on full-search array architecture","Signal Processing-image Communication",0.572835497835,0.665773809524
7FB02C17,"Pedestrian detection using GPU-accelerated multiple cue computation","Computer Vision and Pattern Recognition",0.200396825397,0.261111111111
76367C30,"Rate-distortion performance analysis of an analog motion estimation array","International Conference on Acoustics, Speech, and Signal Processing",0.329801587302,0.432804232804
802E4487,"P4B-2 Beamforming Techniques for Motion Estimation in Ultrasound Elastography","Information not present",0.311551226551,0.7
7F825942,"Block-Matched Based Scalable Video Coding","Information not present",0.462413091959,1.0
6F60C599,"An efficient half pixel motion estimation algorithm based on spatial correlations","Computational Intelligence and Security",0.572835497835,0.747680890538
7FFCF4C5,"Statistics of Single-Degree-of-Freedom Estimate of Displacement for Pushover Analysis of Buildings","Journal of Structural Engineering-asce",0.109736652237,0.111179098679
61D63976,"Can we measure Geocenter Motion accurately?","Information not present",0.258654401154,0.625
7FE32AA5,"Motion Tracking on Elbow Tissue from Ultrasonic Image Sequence for Patients with Lateral Epicondylitis","International Conference of the IEEE Engineering in Medicine and Biology Society",0.258654401154,0.251875901876
0DB292C8,"A Low-Power Systolic Array Architecture for Block-Matching Motion Estimation(Digital, Low-Power LSI and Low-Power IP)","Information not present",0.346154401154,0.46341991342
796BC251,"Motion vector estimation using spatiotemporal prediction and its application to video coding","Information not present",0.456904761905,0.536796536797
