Paper ID,Title,Journal,Sim1,Sim2
7D97E2A4,"Symmetric clock synchronization in sensor networks","Information not present",0.56001984127,0.791666666667
5FC81836,"Practical End-to-End Performance Testing Tool for High Speed 3G-Based Networks","Information not present",0.257738095238,0.341904761905
793D8F30,"Experimental Characterization and Analysis of an Asynchronous Approach for Reduction of Substrate Noise in Digital Circuitry","IEEE Transactions on Very Large Scale Integration Systems",0.261607142857,0.273185941043
64224FFA,"A scan design for asynchronous sequential logic circuits using SR-latches","Information not present",0.137468434343,0.229166666667
061464B2,"Formal Verification of the Interactive Convergence Clock Synchronization Algorithm using EHDM","Information not present",0.364186507937,0.37
77FC4594,"Practical implementations of non-blocking synchronization primitives","Principles of Distributed Computing",0.339091810967,0.412037037037
813BAC56,"Reliable Re-Encryption in Unreliable Clouds","Global Communications Conference",0.0822276681652,0.0909090909091
7DBAED10,"Implementation of Flexible Access System","Proceedings of SPIE",0.130208333333,0.152777777778
74CFDCB9,"Qualitative analysis of the impact of clock timing error and/or frequency offsets on an OFDM waveform demodulator","Information not present",0.15689484127,0.159523809524
7A962541,"Implementation of IEEE1588 for Clock Synchronization","Information not present",0.347172619048,0.430555555556
830D3EB9,"스페이스와이어 링크의 시각 동기 성능 개선","Information not present",0,0
7CA2CEC3,"Introduction to the Special Issue on Real-Time Systems","IEEE Transactions on Computers",0.141571969697,0.158333333333
7DC62DFA,"A Functional Link between Rhythmic Changes in Chromatin Structure and the Arabidopsis Biological Clock","The Plant Cell",0.160912698413,0.172883597884
11BBA44C,"Synchronization Control of Multiple Motors using CAN Clock Synchronization","Information not present",0.35689484127,0.472222222222
7F105457,"Sensitivity of Multiband ZP-OFDM Ultra-Wide-Band and Receivers to Synchronization Errors","IEEE Transactions on Signal Processing",0.350942460317,0.346428571429
7B73BED1,"Opportunistic Digital Array Radar and its technical characteristic analysis","Information not present",0.146974206349,0.175
7D8B7AD7,"Limits of synchronization accuracy using hardware support in IEEE 1588","Information not present",0.34375,0.350793650794
7D05053C,"Wireless LXI Bus Clock Synchronization and Triggering Design","IEEE Transactions on Instrumentation and Measurement",0.476686507937,0.458333333333
