Paper ID,Title,Sim1,Sim2
8101A60D,"Emotion recognition based on physiological changes in music listening",0.380158730159,0.42962962963
76E2F827,"A facial feature tracker for human-computer interaction based on 3D Time-Of-Flight cameras",0.442573051948,0.543849206349
7E8301AD,"Dimensions of adaptivity in mobile systems: personality and people's attitudes",0.185884353741,0.147051282051
7D380E7C,"Magic wand and the Enigma of the Sphinx",0.12375957376,0.0858585858586
5C939996,"Confabulation in the time of transdisciplinarity: reflection on HCI education and a call for conversation",0.113383838384,0.109364478114
7E7A6528,"Contextualization of Geospatial Database Semantics for Mediating Human-GIS Dialogues",0.105844155844,0.102083333333
7DEBF59A,"Investigating the behavior of visually impaired users for multi‐session search tasks",0.133297258297,0.140404040404
78DED512,"Promoting a healthy lifestyle through a virtual specialist solution",0.136796536797,0.137310606061
804E78DA,"Towards measuring quality of interaction in mobile robotic telepresence using sociometric badges.",0.175,0.211666666667
7E773F34,"Implementation and evaluation of wearable sensor devices for recording and detecting conversational interaction",0.140718408576,0.134580498866
762F0C95,"Probabilistic gaze estimation without active personal calibration",0.133297258297,0.0972222222222
7BC2377C,"Why are macros not used? A brief review and an approach for improving training",0.133297258297,0.207281144781
5C854743,"Understanding the impact of web personalization on user information processing and decision outcomes",0.147907647908,0.164814814815
59EA0DE9,"Personalisation in intelligent environments: managing the information flow",0.288780663781,0.402777777778
6000D2AE,"Evidence Report: Risk of Inadequate Human-Computer Interaction",0.15,0.118371212121
7CF19BC5,"Building task-specific interfaces to high volume conversational data",0.151757369615,0.146130952381
8144E530,"Emotion scents: a method of representing user emotions on GUI widgets",0.142233560091,0.140538033395
7890FAEE,"The Design of Virtual Space: Lessons from Videogame Travel",0.161111111111,0.1125
79450476,"VICs: A modular HCI framework using spatiotemporal dynamics",0.141470434328,0.211111111111
7B1A7194,"A multi-view vision-based hand motion capturing system",0.11117295403,0.0864875864876
7C053C96,"The Focus Problem in Mobile Learning",0.115708101422,0.118437118437
0A548145,"Taxonomy for Integrating Models in the Development of Interactive Groupware Systems",0.169109461967,0.14357031857
801A5775,"Visualizing biological pathways: requirements analysis, systems evaluation and research agenda",0.152056277056,0.113608440171
8139C6C3,"Continuous natural user interface: Reducing the gap between real and digital world",0.12862970363,0.113181818182
822E3005,"Robust flip-flop Redesign for Violation Minimization Considering Hot Carrier Injection (HCI) and Negative Bias Temperature Instability (NBTI)",0.151587301587,0.117424242424
815308BD,"A hybrid 2D/3D user interface for immersive object modeling",0.138383838384,0.0925925925926
58AB4F5C,"Human-Computer Interaction and Usability Engineering for Elderly (HCI4AGING): Introduction to the Special Thematic Session",0.150288600289,0.113181818182
75CE1BD8,"Gesture recognition corpora and tools: A scripted ground truthing method",0.247392290249,0.238837353123
5B6AB45E,"Design of human computer interfaces for highly automated vehicles in the eu-project HAVEit",0.118847818848,0.0761904761905
7D1CC9BB,"Designing the user interface: strategies for effective human-computer interaction",0.145253555968,0.133630952381
5D8F3CE7,"Rapid face detection algorithm of color images under complex background",0.281859410431,0.26163003663
78D4CFE0,"Taste and place: design, HCI, location and food",0.109812409812,0.0970707070707
7F943911,"Feminist HCI: taking stock and outlining an agenda for design",0.148484848485,0.138181818182
599F5601,"Heuristic Evaluation as a Complement to Usability Testing: A Case Study in Web Domain",0.173185941043,0.133669901527
765F1E98,"Establishing and maintaining long-term human-computer relationships",0.149206349206,0.236111111111
7E3BB135,"Implementations of the CC'01 Human-Computer Interaction Guidelines Using Bloom's Taxonomy.",0.156024531025,0.166877104377
79BC8E45,"How should Fitts' Law be applied to human-computer interaction?",0.146490414348,0.233630952381
7E7606CF,"Effects of facial alignment for age estimation",0.255758477633,0.28841991342
80C3098F,"Advances in developing a signal processing tool for rocket motor measurements",0.169047619048,0.142261904762
773027F6,"Learning from preschool children's pointing sub-movements",0.11643118786,0.186507936508
791BFF10,"Audience engagement in multimedia presentations",0.111002886003,0.118055555556
80B43BA1,"Beliefs about the social roles and capabilities of computing technology: development of the computing technology continuum of perspective",0.183106575964,0.149329004329
1305C783,"Integrating Statistical Visualization Research into the Political Science Classroom",0.186904761905,0.2
755F2528,"Mental models: concepts for human-computer interaction research",0.180627705628,0.189583333333
7D566EDE,"Prosodic adaptation in human-computer interaction",0.137193362193,0.1125
8146E750,"Integrated approach of multiple face detection for video surveillance",0.141666666667,0.0989704739705
7EC78A2C,"Effective vehicle teleoperation on the World Wide Web",0.129653679654,0.0849206349206
7534E8B3,"Ultrasonic Doppler Sensing in HCI",0.128463203463,0.100961538462
77DF1199,"Sentic Album: Content-, Concept-, and Context-Based Online Personal Photo Management System",0.133297258297,0.0861950549451
7DF024DA,"An Investigation on the Feasibility of Uncalibrated and Unconstrained Gaze Tracking for Human Assistive Applications by Using Head Pose Estimation",0.138950731808,0.147611416361
7F845B58,"Value and Relation Display: Interactive Visual Exploration of Large Data Sets with Hundreds of Dimensions",0.170918367347,0.122561813187
7C9A722C,"A cyclic model of information seeking in hyperlinked environments: The role of goals, self-efficacy, and intrinsic motivation",0.203741496599,0.189682539683
7979D38F,"Task management support in information seeking: a case for search histories",0.148015873016,0.146527777778
7D20FC31,"Examining visual attention of dyslexics on web navigation structures with eye tracking",0.137146980004,0.163492063492
7853D5B6,"A usability study on human-computer interface for middle-aged learners",0.142748917749,0.103787878788
796AE7DA,"Help with health information on the web",0.118145743146,0.109027777778
7B6E283D,"Tracking pointing gesture in 3D space for wearable visual interfaces",0.161111111111,0.145238095238
