Paper ID,Title,Journal,Sim1,Sim2
7538AFB4,"-A region-based subband coding scheme","Signal Processing-image Communication",0.264795008913,0.545454545455
06F0B7DE,"-Spatio-temporal visual distortion and rate optimization for video coding","Advances in Multimedia",0.340384615385,0.285238095238
7E628B8E,"-Opening the Laplacian pyramid for video coding","International Conference on Image Processing",0.327051282051,0.408333333333
79CF698C,"-Region of Interest Extraction Method Using Wavelets","Information not present",0.11595959596,0.151111111111
7CAB313E,"-Rate-distortion optimization between the hierarchical variable block size motion estimation and motion sequence coding","Visual Communications and Image Processing",0.361904761905,0.341121031746
5F9749FB,"-Sliding-window packetization for unequal loss protection based multiple description coding","International Conference on Image Processing",0.136507936508,0.167222222222
5C300189,"-Dual frame video encoding with feedback","Information not present",0.338888888889,0.355555555556
80C8AAB1,"-An improved algorithm for rate distortion optimization in JPEG2000 and its integrated circuit implementation","International Conference on Acoustics, Speech, and Signal Processing",0.155476190476,0.138157081014
7FB0133B,"-Conditional entropy coding of VQ indexes for image compression","Designs, Codes and Cryptography",0.10468975469,0.107626262626
06ABE934,"-A fast intramode decision algorithm for H.264/AVC","Information not present",0.104015151515,0.0954545454545
5C75979A,"-Low-complexity macroblock mode selection for H.264-AVC encoders","International Conference on Image Processing",0.125860805861,0.138888888889
7546BFD7,"-Fast intra mode decision for HEVC intra coding","Information not present",0.305860805861,0.422222222222
7E57A3A9,"-Encoding DCT coefficients in H.263 based on rate-distortion measurement","Information not present",0.111111111111,0.185185185185
60A0B200,"-Enhanced Mode Selection Algorithm for H.264 encoder for Application in Low Computational power devices","Clinical Orthopaedics and Related Research",0.155860805861,0.132626262626
7E9CFFF8,"-High performance wavelet-based stereo image coding","International Symposium on Circuits and Systems",0.289444444444,0.336805555556
7D79DC40,"-Image Authentication and Recovery through Optimal Selection of Block Types","Ieice Transactions",0.14380952381,0.118975468975
7D21550F,"-Rate-distortion-complexity modeling for network and receiver aware adaptation","IEEE Transactions on Multimedia",0.15,0.150297619048
8070E2E9,"-A novel coding scheme for symmetric multiple description coding","International Symposium on Information Theory",0.303174603175,0.296515151515
7F7525EC,"-Optimal resource allocation for video transmission over DS-CDMA channels with multirate detection","International Conference on Acoustics, Speech, and Signal Processing",0.10468975469,0.107222222222
7DDDDB0A,"-Adaptive Nonseparable Interpolation for Image Compression With Directional Wavelet Transform","IEEE Signal Processing Letters",0.153717948718,0.125505050505
7845CF6E,"-Rate-distortion optimized adaptive transform coding","Optical Engineering",0.104015151515,0.133333333333
593CDBD5,"-Research on the computation model of macro block coding based on the rate-distortion optimization","Information not present",0.291515151515,0.295707070707
7E6B729C,"-A new joint Rate-distortion Optimization model based on texture and mean-error factors","Information not present",0.12619047619,0.148268398268
81029CB8,"-Forward Error Correction-Based 2-D Layered Multiple Description Coding for Error-Resilient H.264 SVC Video Transmission","IEEE Transactions on Circuits and Systems for Video Technology",0.507051282051,0.475555555556
0319D9B8,"-Rate-Distortion optimized video coding with frameskip","Information not present",0.507051282051,0.722222222222
80AD8E7E,"-Joint rate-distortion optimization of transform coefficients for spatial Scalable Video Coding using SVC","International Conference on Image Processing",0.589209401709,0.587962962963
778E5D5B,"-Joint Source and Channel Coding for 3-D Scene Databases Using Vector Quantization and Embedded Parity Objects","IEEE Transactions on Image Processing",0.160238095238,0.136830341376
83B17DA3,"-부호화 효율을 고려한 고속 인터/인트라 모드 결정 알고리즘","Information not present",0,0
79C7414D,"-Gradient based fast mode decision algorithm for intra prediction in HEVC","Information not present",0.104015151515,0.153787878788
0A5B5B84,"-Rate-distortion optimized low--latency video streaming using channel-adaptive bitstream assembly","Information not present",0.365,0.340476190476
5992357C,"-Hybrid Multiple Description Video Coding Using SD/MD Switching","Pacific Rim Conference on Multimedia",0.507051282051,0.52
7FA15632,"-Property vector based distortion estimation","Information not present",0.114015151515,0.160416666667
7955BA8A,"-Rate-distortion development for optimal truncation in JPEG2000 imagery","Information not present",0.105833333333,0.0944444444444
8032377E,"-Motion estimation with entropy coding considerations in H.264/AVC","International Conference on Image Processing",0.286507936508,0.3375
810326BA,"-Efficient background video coding with static sprite generation and arbitrary-shape spatial prediction techniques","IEEE Transactions on Circuits and Systems for Video Technology",0.515384615385,0.416738816739
79FBF34A,"-Research on scalable coding technology application in video compression based on H.264 standard","International Conference on Model Transformation",0.589209401709,0.51645021645
78ED3A51,"-A fast CABAC rate estimator for H.264/AVC mode decision","International Conference on Acoustics, Speech, and Signal Processing",0.141991341991,0.127380952381
76D4E46A,"-Block based Rate-Distortion analysis for quality improvement of synthesized views","Information not present",0.183333333333,0.193737373737
7FF8841C,"-Rate-distortion optimal motion estimation algorithm for video coding","International Conference on Acoustics, Speech, and Signal Processing",0.473717948718,0.463181818182
80DF8F19,"-Transform-Domain Fast Sum of the Squared Difference Computation for H.264/AVC Rate-Distortion Optimization","IEEE Transactions on Circuits and Systems for Video Technology",0.155860805861,0.139583333333
7A1AC0B1,"-A video codec based on R/D-optimized adaptive vector quantization","Designs, Codes and Cryptography",0.340384615385,0.373397435897
710CE7D2,"-New results on rate control in JPEG2000","Information not present",0.135324675325,0.151322751323
7D3F56B3,"-Channel Aware Joint Optimization of Latency and Distortion for Image Communications","Information not present",0.130860805861,0.10746031746
73C5C5D6,"-An efficient SNR scalability coding framework hybrid open-close loop FGS coding","International Symposium on Circuits and Systems",0.483333333333,0.791666666667
7A7CA94F,"-Network Distributed Quantization","Information not present",0.0805812608444,0.138461538462
5D025EA9,"-Video streaming over wireless LAN with efficient scalable coding and prioritized adaptive transmission","International Conference on Image Processing",0.263762626263,0.305
13659315,"-Improved algorithm for RDO in JPEG2000 encoder and its IC design 1 1 This project was supported by the National “863” High Technology Program of China (2002AA1Z1420).","Journal of Systems Engineering and Electronics",0.112063492063,0.145871412538
812615CC,"-Fast Mode Decision Algorithm Using Efficient Block Skip Techniques for H.264 P Slices","Advances in Multimedia",0.157142857143,0.14503968254
78CFB32A,"-Rate-distortion optimized frame dropping for multiuser streaming and conversational videos","Advances in Multimedia",0.347222222222,0.323737373737
75FCF958,"-Adaptive Multi-Resolution Coding for 3D Scenes using Vector Quantization","International Conference on Image Processing",0.109696969697,0.1368997669
7E4A5F1C,"-Complexity Modeling of Spatial and Temporal Compensations in H.264/AVC Decoding","IEEE Transactions on Circuits and Systems for Video Technology",0.115555555556,0.0951178451178
79E79742,"-Computational complexity reduction algorithm for inter mode prediction in video coding","Information not present",0.352051282051,0.255627705628
7FF6149F,"-Fast Intra Mode Decision Algorithm Based on Texture Feature for H.264/AVC","International Conference on Image and Graphics",0.139194139194,0.154112554113
7D434E0D,"-Fast mode selection scheme for H.264/AVC inter prediction based on statistical learning method","International Conference on Multimedia and Expo",0.139194139194,0.145021645022
7F8CD59F,"-Multiple Description Wavelet Video Coding Employing a New Tree Structure","IEEE Transactions on Circuits and Systems for Video Technology",0.525,0.407142857143
754B8BA5,"-Transcoding from H.264/AVC to SVC with CGS Layers","International Conference on Image Processing",0.11595959596,0.138888888889
79141236,"-A macroblock-based perceptually adaptive bit allocation for H264 rate control","International Symposium on Visual Computing",0.145860805861,0.144742063492
7D963663,"-Novel Fast Mode Decision Algorithm for P-Slices in H.264/AVC","Information not present",0.104015151515,0.0954545454545
804B91FF,"-Fast motion estimation within the H.264 codec","International Conference on Multimedia and Expo",0.327051282051,0.5625
7F8137C8,"-Research and Realization of Improved Algorithm for H.264/AVC Oriented to Video Conference under the RTI Framework","International Conference on the Digital Society",0.111111111111,0.116767676768
7F862E3E,"-Rate-distortion optimized tree based coding algorithms","Information not present",0.269696969697,0.334848484848
79BE3140,"-A multi-level dynamic complexity reduction scheme for multiview video coding","International Conference on Image Processing",0.532051282051,0.486363636364
7B39143F,"-Quality versus intelligibility: Evaluating the coding trade-offs for American Sign Language video","Conference on Information Sciences and Systems",0.523333333333,0.41485260771
7DBFD023,"-Cross-Layer Optimization for Video Transmission Over Multirate GMC-CDMA Wireless Links","IEEE Transactions on Image Processing",0.0985664335664,0.104861111111
801A7486,"-End-to-end rate-distortion optimized MD mode selection for multiple description video coding","EURASIP Journal on Advances in Signal Processing",0.516666666667,0.425925925926
803D357B,"-An Estimation-Theoretic Interpretation of Video Rate Distortion Optimization with Lagrangian Formulation","Designs, Codes and Cryptography",0.327051282051,0.254701779702
7D40A57A,"-Remote Interactive Browsing of Video Surveillance Content Based on JPEG 2000","IEEE Transactions on Circuits and Systems for Video Technology",0.130860805861,0.162608225108
756D1310,"-Layered coding vs. multiple descriptions for video streaming over multiple paths","ACM Multimedia",0.507051282051,0.471515151515
7E770161,"-Rate-distortion optimal fast thresholding with complete JPEG/MPEG decoder compatibility","IEEE Transactions on Image Processing",0.12095959596,0.1125
7948A8A5,"-Perceptual-based coding mode decision","International Symposium on Circuits and Systems",0.305860805861,0.422222222222
80BD8838,"-Reduced-complexity rate-distortion optimization of multiresolution motion field and prediction residual","International Conference on Image Processing",0.328333333333,0.280086580087
792CF47B,"-Encoding of multispectral and hyperspectral image data using wavelet transform and gain shape vector quantization","Image and Vision Computing",0.134432234432,0.141659035409
80F936C3,"-Improving Computation of Zero-Blocks for Zero-Block Mode Decision Using Prediction Motion Vector","Pacific Rim Conference on Multimedia",0.348717948718,0.267748917749
7AF985B8,"-VLSI Architecture of 1.264 Block Size Decision based on Rate-Distortion Optimization","Information not present",0.145238095238,0.158531746032
7E7294BC,"-Optimized Atom Position and Coefficient Coding for Matching Pursuit-Based Image Compression","IEEE Transactions on Image Processing",0.113015873016,0.127188552189
799A038F,"-Adaptive P2P video streaming via packet labeling","Information not present",0.332051282051,0.447619047619
8053E486,"-A region and data hiding based error concealment scheme for images","IEEE Transactions on Consumer Electronics",0.137698412698,0.169845779221
7F721715,"-SATD-based intramode decision for H.264/AVC video coding","International Conference on Multimedia and Expo",0.507051282051,0.7
79E1FCFA,"-Perceptually Adaptive Lagrange Multiplier for Rate-Distortion Optimization in H.264","Information not present",0.119841269841,0.104166666667
7E0721E4,"-Video Coding With Rate-Distortion Optimized Transform","IEEE Transactions on Circuits and Systems for Video Technology",1.0,0.583333333333
680AB084,"-Rate-Distortion Optimization For Image Compression Using Warped","Information not present",0.111111111111,0.157070707071
759F3545,"-A simple direction detection algorithm for Fast H.264 intra prediction","Information not present",0.109696969697,0.0931818181818
7D2DB78D,"-Rate-distortion optimal motion estimation algorithms for motion-compensated transform video coding","IEEE Transactions on Circuits and Systems for Video Technology",0.640384615385,0.643181818182
79E3DF67,"-Efficient rate-distortion optimized mode selection of H.264/AVC intra coding","Information not present",0.305860805861,0.425925925926
7D5349FB,"-Fast spatial Direct mode decision for B slice based on temporal information in H.264 standard","Information not present",0.163333333333,0.162471655329
7D687567,"-SSIM-Motivated Rate-Distortion Optimization for Video Coding","IEEE Transactions on Circuits and Systems for Video Technology",0.327051282051,0.394444444444
7870E33D,"-SSIM-Inspired Perceptual Video Coding for HEVC","International Conference on Multimedia and Expo",0.507051282051,1.0
80F8FCEE,"-Adaptive Lagrange Multiplier Selection for Intra-Frame Video Coding","International Symposium on Circuits and Systems",0.327051282051,0.334027777778
7FE46870,"-Network-adaptive low-latency video communication over best-effort networks","IEEE Transactions on Circuits and Systems for Video Technology",0.327051282051,0.422619047619
7E781190,"-Coding structure optimization for interactive multiview streaming in virtual world observation","Multimedia Signal Processing",0.124848484848,0.135
5ACFBCDA,"-Research on The Application of Wireless Video Information Mining for the Multi- encoding Mode and Trans-coding Optimization Algorithm","Information not present",0.348717948718,0.226092657343
7FC2548B,"-An Efficient Progressive Bitstream Transmission System for Hybrid Channels With Memory","IEEE Transactions on Multimedia",0.137777777778,0.127777777778
787F27B2,"-Region-of-interest coding based on rate-distortion optimization: Region-of-interest coding based on rate-distortion optimization","Journal of Computer Applications",0.270681818182,0.322222222222
7D4D6C64,"-Perceptual image compression via adaptive block- based super-resolution directed down-sampling","International Symposium on Circuits and Systems",0.111111111111,0.156565656566
