Paper ID,Title,Journal,Sim1,Sim2
7F1A1204,"Active mitigation of induced phase distortion in a GSM SoC","Information not present",0.1175,0.127777777778
80BCD696,"Toward the realization of a frequency standard at 1.5 /spl mu/m based on narrow-linewidth erbium lasers and saturated acetylene lines","Information not present",0.120238095238,0.152815086148
7B00B166,"Multifrequency integration in FM radio-based passive bistatic radar. Part I: Target detection","IEEE Aerospace and Electronic Systems Magazine",0.125555555556,0.128439153439
5B106299,"Cross-cultural similarities in the visibility of the stroboscopic effect","Information not present",0.123566433566,0.167989417989
7F562977,"High order single-bit delta sigma modulator for fractional-N frequency synthesis in multi-standard transceiver","Information not present",0.101363636364,0.105404040404
7F9A84ED,"Excess loop delay compensation technique for tunable bandpass delta sigma modulators","Information not present",0.192222222222,0.168392255892
78E70A25,"Progress in the Development of a Cesium Beam Oscillator for Aerospace Guidance","Information not present",0.113015873016,0.106567242282
74AF28C6,"GACETA ILUSTRADA: FONDO RESERVADO. DIÁLOGO. DIABLURA. MÚSICA. RECONOCIMIENTO","Information not present",0,0
6F0FCAEB,"A wide area solution that takes advantage of the existing radio broadcast and national geodetic network infrastructure","Information not present",0.164444444444,0.191446208113
1210AA4F,"Evaluation of wideband leakage cancellation circuit for improved transmit receive isolation","Information not present",0.265151515152,0.259259259259
7203B0D5,"A 7 GHz FM Transmitter Utilizing GaAs Power MESFETs","Information not present",0.146495726496,0.196515151515
7A9CD1A0,"A design and realization on low cost light wireless communication system","Information not present",0.143181818182,0.128236446094
780F64B6,"Robustness of the cyclostationary detection to cyclic frequency mismatch","Personal, Indoor and Mobile Radio Communications",0.121158008658,0.139880952381
789DB808,"Accuracy of quantitative magnetic resonance and eight-electrode bioelectrical impedance analysis in normal weight and obese women","Clinical Nutrition",0.279829059829,0.255303030303
7E266394,"V-band signal generation by photonic frequency doubling with periodically poled lithium niobate waveguide","Information not present",0.115238095238,0.140939153439
7DF5EED6,"Distortion related to polarization-mode dispersion in analog lightwave systems","Journal of Lightwave Technology",0.125238095238,0.156753246753
7B6016CE,"Robust QAM classification against frequency offset","Information not present",0.111349206349,0.122619047619
7E18AE27,"Mode partition noise of nearly single-mode semiconductor lasers modulated at GHz rates","IEEE Journal of Quantum Electronics",0.126666666667,0.126988636364
765EFB01,"MIMO-DAB/DMB Based on Differential Unitary Space-Frequency Modulation","International Conference on Communications",0.0798290598291,0.216666666667
7E6B1F2D,"Radar applications of X-band fiber optic links","Information not present",0.0988888888889,0.100505050505
76DD01D6,"Optimal source-modulation frequencies for transport-theory-based optical tomography of small-tissue volumes","Optics Express",0.12619047619,0.127525252525
7D944731,"Uniformly distributed hopping pattern for MMFSK in power line communications","Information not present",0.166666666667,0.198333333333
3B028DED,"SIN DIAGNOSTICAR, LA MAYORÍA DE CASOS DE ESQUIZOFRENIA","Information not present",0.104795008913,0.2
7CFCE99E,"FM-based piezoelectric strain voltage sensor at ultra-low frequencies with wireless capability","Sensors and Actuators A-physical",0.158181818182,0.155555555556
76617BB5,"Interleaved carrier-based modulations for reducing low-frequency neutral point voltage ripple in the three-phase neutral point clamped inverter","Information not present",0.100384615385,0.12962962963
70DEBD79,"Vortex Dynamics in Magnetic Nanodisks With a Ring of Magnetic Defects","IEEE Transactions on Magnetics",0.104015151515,0.144047619048
785EA324,"A Phase-shifting control for Variable Frequency Multi-cells Interleaved Boost Pre-regulator Based on FPGA Device","Information not present",0.136753246753,0.203571428571
7176932D,"Multifrequency FM-SWFM data transmission using optical fiber","Information not present",0.107301587302,0.171825396825
5DD06983,"Development of high power, frequency tunable, submillimeter wave sources - Gyrotron FU series","Information not present",0.147777777778,0.146296296296
78FC75A6,"Real-time low-complexity automatic modulation classifier for pulsed radar signals","IEEE Transactions on Aerospace and Electronic Systems",0.125555555556,0.114393939394
79493DA9,"Stability of tandem regulators","Electrical Engineering",0.111515151515,0.130555555556
67994864,"LA CIRUGIA, CIENCIA CON INVALUABLE REVERENCIA POR LA VIDA","Information not present",0.0885858585859,0.103703703704
5D4D6E45,"Broadband MIMO powerline channel emulator verification and testing results","Information not present",0.105555555556,0.129444444444
79B495BA,"A decoupled micro-electromechanical resonant gyroscope","Proceedings of SPIE",0.0710504201681,0.1
8137E6D6,"FM over impulse radio UWB","Information not present",0.118831168831,0.170454545455
749A2BBB,"DSP type coherent DSB signal detector using new phase synchronizer","Information not present",0.135,0.176666666667
76F8D01F,"Directly modulated laser transmitter driven by DC-balanced line-coded signals","International Conference on Conceptual Structures",0.127777777778,0.13746031746
7C966C26,"A 25Gb/s laser diode driver with mutually coupled peaking inductors for optical interconnects","Custom Integrated Circuits Conference",0.0974747474747,0.126666666667
73B815A5,"Modeling and Simulation of Frequency Hopping Anti-jamming Communication System","Information not present",0.121753246753,0.134794372294
7EB5F6F6,"Tune trackers for the Fermilab Tevatron","Information not present",0.0965151515152,0.104166666667
770439BC,"Blind Identification of Nonbinary LDPC Codes Using Average LLR of Syndrome a Posteriori Probability","IEEE Communications Letters",0.12619047619,0.173571428571
83497492,"Performance of rolling shutter and global shutter camera in optical camera communications","Information not present",0.119444444444,0.128571428571
808E94AB,"A study on auditory resolution using Bark-FAMlet clicks","International Conference on Acoustics, Speech, and Signal Processing",0.0950980392157,0.159722222222
80C886EE,"A multipurpose digital modulator","IEEE Communications Magazine",0,0
02F15D54,"Analysis of Temperature and Velocity Microturbulence Parameters from Aircraft Data and Relationship to Atmospheric Refractive Index Structure","Information not present",0.141666666667,0.128134519801
801A72B9,"A 3.125-Gb/s sub-milliwatt CMOS signal detector circuit","Information not present",0.0835714285714,0.118055555556
76E3A0F5,"Absorption Measurements Using Frequency Modulation Heterodyne Spectroscopy","Information not present",0.101911976912,0.141061253561
75EB8088,"An initial phase error elimination in a laser scanner with a multiple phase demodulation method","Information not present",0.493571428571,0.346321733822
7E6E619E,"Fiber-Optic Grid Interferogram Shape Sensing System","IEEE Sensors Journal",0.120086580087,0.186507936508
80798395,"Nonlinear unmixing of hyperspectral images using radial basis functions and orthogonal least squares","International Geoscience and Remote Sensing Symposium",0.290476190476,0.300396825397
7E18F476,"Test and calibration of sonobuoys in the air environment","Studia Informatica Universalis",0.110245310245,0.117171717172
6B717A8D,"Adaptive beamforming for wideband jamming cancellation","Information not present",0.0793574846206,0.0871212121212
7F916723,"Fade Duration Distribution and Minimum Duration Outage in Weibull Fading Channels","Vehicular Technology Conference",0.139047619048,0.146103896104
