Paper ID,Title,Sim1,Sim2
7C7D8C22,"DBC&#8212;A Database Computer for Very Large Databases",0.159508547009,0.140740740741
80460D6C,"On-Line Instruction-Checking in Pipelined Microprocessors",0.124603174603,0.142857142857
7846D923,"Feature model to product architectures: Applying MDE to Software Product Lines",0.381730769231,0.266720779221
76F2F167,"Circuit-aware architectural simulation",0.122023809524,0.1
7FAA88CF,"Ring-connected networks and their relationship to cubical ring connected cycles and dynamic redundancy networks",0.138005050505,0.13253968254
7A9941EB,"iFill: an impact-oriented X-filling method for shift- and capture-power reduction in at-speed scan-based testing",0.106730769231,0.108974358974
76B2F933,"Scheme86: a system for interpreting scheme",0.335714285714,0.440476190476
80CAC789,"Specifying and verifying hardware for tamper-resistant software",0.379166666667,0.40625
04032935,"On Large-Scale Hybrid Computing Architecture for Neocortical Models - With an Application in Realizing Cognizance Operations of the Visual Cortex",0.322222222222,0.215778049111
75D68C5C,"Low-latency communication over ATM networks using active messages",0.158928571429,0.179761904762
806CCDE4,"Design and analysis of an NoC architecture from performance, reliability and energy perspective",0.1125,0.103463203463
804D7B9A,"On uniform one-chip VLSI design considerations for some discrete orthogonal transforms",0.124587912088,0.0884615384615
7D4F6269,"A modular architecture for the real-time reconfigurability of GNSS receivers",0.135539215686,0.166666666667
7D7C9ABD,"Evaluating the performance of a configurable, extensible VLIW processor in FFT execution",0.127564102564,0.116958041958
7F2049A3,"Diagnostic application for development of custom ATCA Carrier Board for LLRF",0.359508547009,0.280952380952
80FE9D1D,"Optimizing the Performance of Virtual Machine Synchronization for Fault Tolerance",0.18125,0.143055555556
780DF6E8,"The Tron Project",0.087592962593,0.111111111111
62A57B33,"Calculation of minimum number of registers in arbitrary life time chart",0.144255050505,0.10021043771
8370F420,"A Graph-Based Program Representation for Analyzing Hardware Specialization Approaches",0.210227272727,0.183080808081
8126B0B7,"Active Safety in Autonomous Land Vehicle",0.166958041958,0.141414141414
8124810C,"Real-Time Management of Hardware and Software Tasks for FPGA-based Embedded Systems",0.590277777778,0.494444444444
80A99592,"Open Web: Seamless Proxy Interconnection at the Switching Layer",0.166958041958,0.175
052CE7B1,"The effect of the hardware sharing factor on the selection of an architectural style for real-time signal processing",0.202380952381,0.140228174603
810D69D2,"On Using Lossy Compression for Repeatable Experiments during Silicon Debug",0.129166666667,0.15
7E7E8E41,"Predictive Load Balancing for Interconnected FPGAs",0.145982142857,0.216666666667
7F1C4254,"Synthesis and comparison of low-power high-throughput architectures for SAD calculation",0.151175213675,0.117171717172
80668AA9,"FPGA-based stochastic neural networks-implementation",0.25,0
7E9ABAC1,"A low-power 64-point FFT/IFFT design for IEEE 802.11a WLAN application",0.119735819736,0.137037037037
8218A018,"Frequency-domain intrachip communication schemes for CNN",0.107052669553,0.107142857143
7A3F47BB,"Impact of add/drop port utilization flexibility in DWDM networks [Invited]",0.125694444444,0.119907407407
7FC1FB16,"High Speed 1-bit Bypass Adder Design for Low Precision Additions",0.145941558442,0.107016594517
7E3EA044,"The soft error problem: an architectural perspective",0.133814102564,0.0972222222222
7EB6411B,"EvoCaches: Application-specific Adaptation of Cache Mappings",0.123511904762,0.128571428571
7D79F986,"Area efficient architectures for information integrity in cache memories",0.119047619048,0.115238095238
800821D5,"Active/active replication for highly available HPC system services",0.355357142857,0.39696969697
7EAFBDD0,"Bibliography of the TRON project (1984-1994)",0.0910894660895,0.10101010101
7311E78A,"Reducing code size with run-time decompression",0.149621212121,0.149621212121
7FD26690,"Lisp on a reduced-instruction-set processor: characterization and optimization",0.152564102564,0.145421245421
811FCF98,"A fully distributed 10G-EPON-based converged fixed-mobile networking transport infrastructure for next generation broadband access",0.191666666667,0.158333333333
803DFD22,"Multicast forwarding plane in future networks: Source routing has a competitive edge",0.139583333333,0.163888888889
7D1E5F28,"Hybrid Hardware-Software Architecture for Reconfigurable Real-Time Systems",0.345982142857,0.583333333333
767BC159,"Centralized ARP proxy server over SDN controller to cut down ARP broadcast in large-scale data center networks",0.330555555556,0.224368686869
7787C14B,"Deep Fisher Kernels -- End to End Learning of the Fisher Kernel GMM Parameters",0.139880952381,0.162797619048
7F650888,"Programmable AND-CFAR signal detector design and its FPGA prototyping for FMCW radar systems",0.346428571429,0.331904761905
80E0AE00,"Evaluating the use of register queues in software pipelined loops",0.364583333333,0.277651515152
7F845242,"Regular iterative algorithms and their implementation on processor arrays",0.135227272727,0.0942307692308
814CA873,"A kernel-independent, pipelined architecture for real-time 2-D convolution",0.146124708625,0.128787878788
7F308011,"Pipelined Range Reduction for Floating Point Numbers",0.138675213675,0.135555555556
7E7AC2DB,"Modeling of NAMD's Network Input/Output on Large PC Clusters",0.144047619048,0.114691558442
7D698E4D,"Four metaphors of architecture in software organizations: finding out the meaning of architecture in practice",0.385416666667,0.263446969697
73F4BD74,"Digital Enterprise Architecture - Transformation for the Internet of Things",0.172727272727,0.141515151515
5CB0C093,"Short vector code generation for the discrete Fourier transform",0.15,0.108333333333
7CF29DD9,"Architectures for hierarchical and other block matching algorithms",0.169230769231,0.191666666667
58C9A04B,"Benchmarking hypercube hardware and software",0.351893939394,0.625
7F7588C3,"Fault-Tolerant Online Backup Service: Formal Modeling and Reasoning",0.140758547009,0.103258547009
7DF5C51D,"Efficient architectures for operators",0.146124708625,0.128787878788
7D5B9655,"An efficient algorithm for row minima computations on basic reconfigurable meshes",0.133838383838,0.0937373737374
803E7D97,"A systolic redundant residue arithmetic error correction circuit",0.216666666667,0.219444444444
8048903D,"High-Level Synthesis of Scalable Architectures for IIR Filters Using Multichip Modules",0.170454545455,0.188181818182
8165DD36,"Re-Engineering a Reverse Engineering Portal to a Distributed SOA",0.127380952381,0.135714285714
7F207C2F,"Supporting highly-decoupled thread-level redundancy for parallel programs",0.127564102564,0.172222222222
7F3B0196,"Hardware/software co-design for energy-efficient seismic modeling",0.129647435897,0.125
6C2AF33C,"Prototyping New ILP Architectures Using FPGAs",0.135539215686,0.25
790DDCFF,"Characterizing Architecturally Significant Requirements",0.124587912088,0.175
5E7AB4F3,"Survey of solutions for Peer-to-Peer MMOGs",0.0963383838384,0.0954545454545
7EC71405,"A Novel Architecture for Embedded Database Management System on Chip",0.368055555556,0.297777777778
7DC1FAC6,"A scan-BIST environment for testing embedded memories",0.126893939394,0.124747474747
808EBEBB,"Analysis and Modeling of Advanced PIM Architecture Design Tradeoffs",0.152777777778,0.120555555556
7EE253AE,"Memory Performance and Scalability of Intel's and AMD's Dual-Core Processors: A Case Study",0.103282828283,0.0933122433122
7E683BCE,"Using graph patterns to extract scenarios",0.139204545455,0.182070707071
804E1F70,"An optimized solution for mobile computing environment",0.129458041958,0.130303030303
7D121E0E,"Compiling for energy efficiency on timing speculative processors",0.127185314685,0.110081585082
80C27638,"Optimal algorithms for recovery point insertion in recoverable microarchitectures",0.141477272727,0.09375
7CEA1530,"A service plane over the PCE architecture for automatic multidomain connection-oriented services",0.151175213675,0.125694444444
82214FC1,"A Generic Architecture for Scalable and Highly Available Content Serving Applications in the Cloud",0.156944444444,0.118737373737
7FCA6870,"Efficient Implementation of Galois Field Fixed Field Constant Multiplication",0.131730769231,0.126666666667
80077DBB,"A Spectral Model for Process Studies of Rotating, Density-Stratified Flows",0.133814102564,0.115649350649
7E60ED5A,"High-level scheduling model and control synthesis for a broad range of design applications",0.138005050505,0.0938260152546
7FFB2B86,"Modeling Product Line Architectures through Change Sets and Relationships",0.14126984127,0.129966329966
7D5AECB9,"MAP - mining architectures for product line evaluations",0.131755050505,0.1318997669
7E86A5EF,"Fault Tolerant Dual Basis Multiplier Over GF (2m)",0.141477272727,0.105303030303
7EA5C156,"Neural Network Implementation Using CUDA and OpenMP",0.135227272727,0.177777777778
7EEDD394,"Testing in Service-Oriented Environments",0.104458041958,0.145454545455
7EEE6E67,"An abstraction-guided simulation approach using Markov models for microprocessor verification",0.142445054945,0.135908535909
7EFD9272,"A wafer scale programmable systolic data processor",0.131060606061,0.0877913752914
7FBEE2CD,"Efficient Virtualization of High-Performance Network Interfaces",0.131060606061,0.0954545454545
7E7D97B5,"Expected Time for Obtaining Dependable Data in Real-Time Environment",0.135227272727,0.148181818182
7D063CDB,"A delay model and speculative architecture for pipelined routers",0.146124708625,0.107251082251
5C9351A9,"Testing, reliability, and interoperability issues in the CORBA programming paradigm",0.110227272727,0.108080808081
7F91CEBA,"Multiple instruction streams in a highly pipelined processor",0.142361111111,0.104344729345
7B2E027D,"Parallel scheduling of the PCG method for banded matrices rising from FDM/FEM",0.131060606061,0.131060606061
7E8E8D4B,"AQuES: an agent-based query evaluation system",0.327083333333,0.408333333333
7CF826F2,"A service based estimation method for MPSoC performance modelling",0.137286324786,0.1382996633
765B0C3A,"Memory management challenges in the power-aware computing era",0.0991161616162,0.0895382395382
804FB114,"Extending functional languages with stateful computations",0.150992063492,0.167989417989
80DDBC82,"A fast motion estimator for real-time system",0.364583333333,0.412037037037
816585CF,"Enhanced systolic arrays-a new idea",0.128787878788,0.116883116883
8143B29C,"Proposal to solve workload problems in the simulator of the Wolf architecture",0.15625,0.142346938776
80F86D39,"A rate-based prefiltering approach to blast acceleration",0.100778388278,0.119191919192
7EC47371,"AMP: an autonomous multi-processor for image processing and computer vision",0.156060606061,0.111336996337
7DB966DF,"DCT architectures for HDTV",0.0957664884135,0.154761904762
