Paper ID,Title,Journal,Sim1,Sim2
7BAC9A86,"System architecture of a web service for Content-Based Image Retrieval","Conference on Image and Video Retrieval",0.31,0.304273504274
80CA5F1B,"Paid Placement: Advertising and Search on the Internet","The Economic Journal",0.308333333333,0.293888888889
81668F2E,"Use of Internet Sources in International Studies Teaching and Research","International Studies Perspectives",0.204848484848,0.163762626263
7CFA596C,"S2ProT: rank allocation by superpositioned propagation of topic relevance","International Journal of Web Information Systems",0.120238095238,0.118571428571
7B7AE6B3,"A simple and efficient block motion estimation algorithm based on full-search array architecture","Signal Processing-image Communication",0.183181818182,0.136963036963
012488F5,"Porqpine: A Distributed and Collaborative Search Engine","World Wide Web",0.334285714286,0.533333333333
84D3C68E,"The Link Building Black Book - Build Links - SEO Strategies Methods and Tips","Information not present",0.159829059829,0.10402137545
75D4718B,"Structured web search in small domain","Computer and Information Technology",0.339285714286,0.416666666667
761213DB,"Survey of ICT and education in Africa : Kenya country report","Information not present",0.143333333333,0.154848484848
7BF72D0E,"GPU-Enabled High Performance Online Visual Search with High Accuracy","International Symposium on Multimedia",0.366666666667,0.464285714286
7E1E0B50,"Exploiting Additional Context for Graph-Based Tag Recommendations in Folksonomy Systems","Wirtschaftsinformatik \/ Angewandte Informatik",0.154848484848,0.114848484848
7F06C2FB,"The Geographical Life of Search","Wirtschaftsinformatik \/ Angewandte Informatik",0.343956043956,0.571428571429
6E4337DE,"Distributed Object Architectures with CORBA: Partitioning, Interfaces, and Granularity","Information not present",0.12094017094,0.101892551893
7B45A8E2,"A CORBA-based Integrated Platform for Service Publishing, Searching and Sharing in Virtual Enterprise","International Conference on Networking, Sensing and Control",0.183566433566,0.171153846154
7DD6CED3,"A Multiagent Model for Searching Learning Objects in Heterogeneous Set of Repositories","International Conference on Advanced Learning Technologies",0.172222222222,0.134848484848
7E77AC04,"rrnDB: documenting the number of rRNA and tRNA genes in bacteria and archaea","Nucleic Acids Research",0.108566433566,0.0978521478521
5900F800,"Beyond a Visuocentric Way of a Visual Web Search Clustering Engine: The Sonification of WhatsOnWeb","Information not present",0.355555555556,0.29746031746
803E7079,"HaDextract: Extracting HLA-Disease Interaction Information from Biomedical Literature","Information not present",0.181666666667,0.159027777778
7F46F0AB,"Low-grade Ta (noninvasive) urothelial carcinoma of the bladder.","Urology",0.151515151515,0.0763347763348
7AE5896F,"A study of transactional memory vs. locks in practice","ACM Symposium on Parallel Algorithms and Architectures",0.140952380952,0.169444444444
7CB0165F,"A crawling and ranking method for improving context-awareness in mobile web search","Mobile and Ubiquitous Multimedia",0.511111111111,0.469444444444
66F6E5E3,"Voice packet interarrival jitter over IP switching","Information not present",0.133333333333,0.135416666667
7E0775CE,"A task level metric for measuring web search satisfaction and its application on improving relevance estimation","Conference on Information and Knowledge Management",0.516666666667,0.354854096521
77A439B4,"Semantic distance acquisition in SemaCS","Research Challenges in Information Science",0.174285714286,0.15
830B8E63,"AOL Acquires Local News Aggregator Outside.in for its Patch News Site","Information not present",0.162222222222,0.120095645096
5F421390,"An internet portal based on 'Twenty Questions'","Wave Motion",0.159523809524,0.132738095238
6CED28F9,"A meta-search method reinforced by cluster descriptors","Web Information Systems Engineering",0.159829059829,0.143055555556
7BB443B4,"Using k-Top retrieved web snippets to date temporalimplicit queries based on web content analysis","International ACM SIGIR Conference on Research and Development in Information Retrieval",0.187222222222,0.164554272888
816ABD11,"Cross-Organisation Dataspace (COD) - Architecture and Implementation","Computer Systems: Science & Engineering",0.0985014985015,0.0970695970696
7EF42DD5,"Comparative Study on Mobile Search Engines","Applied Mechanics and Materials",0.334285714286,0.411111111111
7E92D19C,"A New Search Engine Filtering Scheme Based on Improved Neural Network and Ontology","Information not present",0.341666666667,0.255220573078
80F10127,"Analysis and Improvement of Data Extraction Technology on the Web","International Conference on e-Business",0.147142857143,0.147685185185
